Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
453.45,,RM,160 NAC,LCSO Roman D,Sheriff Roman Nose,P25,Law Dispatch
453.45,,RM,173.8 PL,LCSO Roman A,Sheriff Roman Nose,FMN,Law Dispatch
453.6875,,RM,161 NAC,LCSO South D,Sheriff - Harness Mtn,P25,Law Dispatch
453.6875,,RM,162.2 PL,LCSO South A,Sheriff - Harness Mtn,FMN,Law Dispatch
460.175,,RM,151.4 PL,LCSO 3 Baker A,Sheriff Roman Nose,FMN,Law Dispatch
460.175,,BM,178 NAC,LCSO 3 Baker D,Sheriff 3 Baker Roman Nose Digital,P25,Law Dispatch
460.225,,RM,173.8 PL,LCSO North A,Sheriff - Coburg Ridge,FMN,Law Dispatch
460.225,,RM,179 NAC,LCSO North D,Sheriff - Coburg Ridge,P25,Law Dispatch
460.275,,RM,167.9 PL,LCSO 1 West A,Sheriff - 1 West Florence,FMN,Law Dispatch
460.275,,RM,177 NAC,LCSO 1 West D,Sheriff - 1 West Florence,P25,Law Dispatch
460.425,,RM,162.2 PL,LCSO 2 North A,Sheriff Prairie Peak,FMN,Law Dispatch
460.425,,RM,181 NAC,LCSO 2 North D,Sheriff Prairie Peak,P25,Law Dispatch
460.6,,RM,,LCSO 3 North D,Sheriff Cape Perpetua,P25,Law Dispatch
460.6,,BM,167.9 PL,LCSO 3 North A,Sheriff Cape Perpetua,FMN,Law Dispatch
453.775,,RM,186.2 PL,Lane Events,Lane Events Center,FMN,Law Talk
460.2,WJA89,RM,,Lane Sheriff DA,Sheriff,P25,Law Talk
460.55,WJA89,RM,,Lane Sheriff DB,Sheriff,P25,Law Talk
460.15,WPMG231,RM,141 NAC,Lane SheriffJail,Jail,P25,Corrections
153.965,,RM,103.5 PL,LaneCo Search,Search and Rescue,FMN,Emergency Ops
452.8775,,RM,179.9 PL,LTD DTrans,LTD RideSource Paratransit,FMN,Transportation
453.425,KYT298,RM,136.5 PL,LTD Ops A,LTD Operations,FMN,Transportation
453.575,,RM,136.5 PL,LTD Ops B,LTD Operations,FMN,Transportation
154.355,,BM,,METRO FD DP,Metro 1 (Eugene/Springfield Dispatch),FMN,Fire Dispatch
154.445,,RM,146.2 PL,CRESTVW CMD,Metro 2 (Crestview Command),FMN,Fire-Tac
155.76,,BM,186.2 PL,Firecom 3,Firecom 3 (Quarry Command),FMN,Fire-Tac
159.2025,,RM,186.2 PL,SKINNER CMD,Metro 4 (Skinner Command),FMN,Fire-Tac
153.95,,RM,186.2 PL,METRO TRN,Metro 9 (Metro Training),FMN,Fire-Tac
154.19,,RM,186.2 PL,METRO TAC11,Metro 11 (Metro Tactical),FMN,Fire-Tac
154.265,,BM,186.2 PL,Firecom 2,Firecom 2 (Metro Tactical),FMN,Fire-Tac
154.145,,RM,186.2 PL,METRO TAC14,Metro 14 (Metro Tactical),FMN,Fire-Tac
154.43,,RM,186.2 PL,EAST FD DP,East 1 (East/South Dispatch),FMN,Fire Dispatch
155.925,,RM,186.2 PL,MCKNZIE CMD,East 2 (McKenzie Command),FMN,Fire-Tac
154.89,,RM,146.2 PL,LOOKOUT CMD,East 3 (Lookout Command),FMN,Fire-Tac
154.4,,RM,186.2 PL,HANSEN RPT,East 6 (Hansen Butte Repeater),FMN,Fire-Tac
154.415,,RM,CSQ,SANTIAM RPT,East 7 (Sisters Fire Santiam Pass),FMN,Fire-Tac
155.9775,WQPX374,RM,146.2 PL,LEABURG RPT,East 8 (Leaburg Repeater),FMN,Fire-Tac
154.995,,RM,186.2 PL,WEST FD DP,West 1 (West Dispatch),FMN,Fire Dispatch
151.37,,RM,146.2 PL,WALKER CMD,West 2 (Walker Point Command),FMN,Fire-Tac
155.82,,RM,146.2 PL,PRAIRIE CMD,West 3 (Prairie Peak Command),FMN,Fire-Tac
159.36,,RM,156.7 PL,JCTCITY FDDP,West 6 (Junction City Dispatch),FMN,Fire Dispatch
154.415,,RM,156.7 PL,JCTCITY TAC2,West 7 (Junction City Tac),FMN,Fire-Tac
155.865,,RM,186.2 PL,BEAR MT CMD,Lane 4 (Bear Mountain Command),FMN,Fire-Tac
159.135,,RM,186.2 PL,LANE CO CMD,Lane 5 (Coburg Ridge Command),FMN,Fire-Tac
150.775,,RM,186.2 PL,RURAL TRN,Lane 9 (Rural Training),FMN,Fire-Tac
154.295,,RM,186.2 PL,LANECO TAC11,Lane 11 (County Tactical),FMN,Fire-Tac
158.88,,RM,186.2 PL,LANECO TAC12,Lane 12 (County Tactical),FMN,Fire-Tac
154.175,,RM,186.2 PL,LANECO TAC13,Lane 13 (County Tactical),FMN,Fire-Tac
154.01,,RM,186.2 PL,LANECO TAC14,Lane 14 (County Tactical),FMN,Fire-Tac
154.07,,RM,141.3 PL,MOHAWK VLY3,Mohawk Valley Fire 3,FMN,Fire-Tac
154.385,,RM,141.3 PL,MOHAWK VLY1,Mohawk Valley Fire 1,FMN,Fire-Tac
154.98,,RM,186.2 PL,LANE COFATac,Lane Fire Authority Tactical,FMN,Fire-Tac
155.16,,RM,CSQ,LANE CO RIT,Lane County Fire RIT,FMN,Fire-Tac
